cfips,population,year
1001,41527,2019
1003,158361,2019
1005,20687,2019
1007,17852,2019
1009,44102,2019
1011,8312,2019
1013,15556,2019
1015,90097,2019
1017,26639,2019
1019,20647,2019
1021,33255,2019
1023,10482,2019
1025,19111,2019
1027,10550,2019
1029,11481,2019
1031,38954,2019
1033,42727,2019
1035,9875,2019
1037,9050,2019
1039,29261,2019
1041,10732,2019
1043,63346,2019
1045,37785,2019
1047,30677,2019
1049,53650,2019
1051,62714,2019
1053,29239,2019
1055,80592,2019
1057,13059,2019
1059,23735,2019
1061,20673,2019
1063,6534,2019
1065,11505,2019
1067,13529,2019
1069,79562,2019
1071,41033,2019
1073,507281,2019
1075,10933,2019
1077,73838,2019
1079,26046,2019
1081,122758,2019
1083,70441,2019
1085,7984,2019
1087,15866,2019
1089,274312,2019
1091,15209,2019
1093,23707,2019
1095,71189,2019
1097,315461,2019
1099,16674,2019
1101,173169,2019
1103,91694,2019
1105,7529,2019
1107,15984,2019
1109,26733,2019
1111,17587,2019
1113,43872,2019
1115,66877,2019
1117,158225,2019
1119,10505,2019
1121,63211,2019
1123,32081,2019
1125,161480,2019
1127,50467,2019
1129,12924,2019
1131,8218,2019
1133,18943,2019
2013,2892,2019
2016,4801,2019
2020,224364,2019
2050,11554,2019
2060,708,2019
2068,1978,2019
2070,3430,2019
2090,75878,2019
2100,2037,2019
2105,1796,2019
2110,25339,2019
2122,44643,2019
2130,10677,2019
2150,10156,2019
2158,4900,2019
2164,936,2019
2170,73576,2019
2180,6467,2019
2185,7262,2019
2188,5021,2019
2195,2537,2019
2198,4936,2019
2220,6833,2019
2230,902,2019
2240,5027,2019
2261,7211,2019
2275,1994,2019
2282,533,2019
2290,3931,2019
4001,51262,2019
4003,98458,2019
4005,108845,2019
4007,42321,2019
4009,27362,2019
4011,6729,2019
4012,17079,2019
4013,3124636,2019
4015,167395,2019
4017,78089,2019
4019,788941,2019
4021,308673,2019
4023,33397,2019
4025,183023,2019
4027,151310,2019
5001,14168,2019
5003,15952,2019
5005,33870,2019
5007,183866,2019
5009,28737,2019
5011,8392,2019
5013,4187,2019
5015,21587,2019
5017,8557,2019
5019,18182,2019
5021,11833,2019
5023,20475,2019
5025,6427,2019
5027,18904,2019
5029,16117,2019
5031,78359,2019
5033,46604,2019
5035,35632,2019
5037,13012,2019
5039,5844,2019
5041,8982,2019
5043,14523,2019
5045,92709,2019
5047,13651,2019
5049,9637,2019
5051,77950,2019
5053,13884,2019
5055,33446,2019
5057,16381,2019
5059,26460,2019
5061,9977,2019
5063,28257,2019
5065,11086,2019
5067,13903,2019
5069,55122,2019
5071,19748,2019
5073,5656,2019
5075,13048,2019
5077,7763,2019
5079,11415,2019
5081,9701,2019
5083,16908,2019
5085,52726,2019
5087,12160,2019
5089,13449,2019
5091,33275,2019
5093,31923,2019
5095,5867,2019
5097,7323,2019
5099,6592,2019
5101,6324,2019
5103,18839,2019
5105,7999,2019
5107,14369,2019
5109,8457,2019
5111,18359,2019
5113,15484,2019
5115,49019,2019
5117,6603,2019
5119,300186,2019
5121,13483,2019
5123,20738,2019
5125,88519,2019
5127,8040,2019
5129,6332,2019
5131,96310,2019
5133,12211,2019
5135,13409,2019
5137,9946,2019
5139,30433,2019
5141,13408,2019
5143,167884,2019
5145,60090,2019
5147,5313,2019
5149,16244,2019
6001,1284703,2019
6003,945,2019
6005,31575,2019
6007,179753,2019
6009,37112,2019
6011,15515,2019
6013,862175,2019
6015,21615,2019
6017,146852,2019
6019,692401,2019
6021,20427,2019
6023,109132,2019
6025,128223,2019
6027,14487,2019
6029,621092,2019
6031,109020,2019
6033,50967,2019
6035,26445,2019
6037,7832142,2019
6039,111693,2019
6041,207701,2019
6043,14756,2019
6045,68459,2019
6047,187526,2019
6049,7259,2019
6051,11320,2019
6053,318859,2019
6055,110659,2019
6057,81466,2019
6059,2439049,2019
6061,289706,2019
6063,15658,2019
6065,1741281,2019
6067,1133511,2019
6069,43042,2019
6071,1547497,2019
6073,2555203,2019
6075,748311,2019
6077,523789,2019
6079,229353,2019
6081,601216,2019
6083,343710,2019
6085,1476210,2019
6087,218916,2019
6089,140152,2019
6091,2459,2019
6093,34715,2019
6095,336083,2019
6097,398997,2019
6099,389349,2019
6101,70463,2019
6103,48120,2019
6105,10874,2019
6107,314966,2019
6109,44852,2019
6111,645493,2019
6113,166894,2019
6115,53979,2019
8001,353442,2019
8003,12369,2019
8005,474197,2019
8007,10399,2019
8009,2831,2019
8011,4903,2019
8013,253646,2019
8014,48787,2019
8015,15963,2019
8017,1464,2019
8019,7733,2019
8021,5905,2019
8023,2963,2019
8025,4795,2019
8027,3811,2019
8029,24061,2019
8031,539843,2019
8033,1375,2019
8035,231733,2019
8037,41641,2019
8039,19074,2019
8041,507297,2019
8043,39141,2019
8045,42985,2019
8047,4727,2019
8049,12238,2019
8051,13344,2019
8053,672,2019
8055,5462,2019
8057,1082,2019
8059,447861,2019
8061,990,2019
8063,6054,2019
8065,6144,2019
8067,43965,2019
8069,263746,2019
8071,11588,2019
8073,4422,2019
8075,17208,2019
8077,115887,2019
8079,752,2019
8081,9689,2019
8083,19972,2019
8085,31766,2019
8087,20697,2019
8089,13995,2019
8091,3968,2019
8093,14089,2019
8095,3249,2019
8097,14867,2019
8099,9007,2019
8101,125655,2019
8103,4967,2019
8105,8719,2019
8107,19753,2019
8109,4935,2019
8111,475,2019
8113,6355,2019
8115,1840,2019
8117,24921,2019
8119,19399,2019
8121,3716,2019
8123,209263,2019
8125,7389,2019
9001,727693,2019
9003,705087,2019
9005,149240,2019
9007,133237,2019
9009,682868,2019
9011,216620,2019
9013,124092,2019
9015,92909,2019
10001,132594,2019
10003,433046,2019
10005,174039,2019
11001,554333,2019
12001,213109,2019
12003,20814,2019
12005,141213,2019
12007,21310,2019
12009,462200,2019
12011,1483776,2019
12013,11325,2019
12015,150986,2019
12017,120138,2019
12019,154247,2019
12021,292784,2019
12023,53491,2019
12027,28516,2019
12029,13264,2019
12031,704409,2019
12033,244787,2019
12035,86306,2019
12037,9764,2019
12039,35923,2019
12041,13646,2019
12043,11039,2019
12045,13497,2019
12047,11517,2019
12049,20042,2019
12051,28340,2019
12053,145632,2019
12055,82536,2019
12057,1039380,2019
12059,15644,2019
12061,122500,2019
12063,39415,2019
12065,11779,2019
12067,6855,2019
12069,261849,2019
12071,571642,2019
12073,232040,2019
12075,31735,2019
12077,6837,2019
12079,14967,2019
12081,293952,2019
12083,279163,2019
12085,129564,2019
12086,2149303,2019
12087,65139,2019
12089,62503,2019
12091,153609,2019
12093,31356,2019
12095,998307,2019
12097,243760,2019
12099,1148653,2019
12101,396198,2019
12103,789712,2019
12105,504936,2019
12107,56696,2019
12109,176682,2019
12111,237217,2019
12113,129387,2019
12115,345102,2019
12117,352889,2019
12119,108160,2019
12121,34361,2019
12123,18033,2019
12125,12406,2019
12127,425388,2019
12129,25001,2019
12131,50514,2019
12133,19620,2019
13001,13836,2019
13003,5994,2019
13005,8370,2019
13007,2596,2019
13009,36739,2019
13011,14092,2019
13013,54840,2019
13015,77007,2019
13017,12865,2019
13019,14449,2019
13021,115566,2019
13023,10072,2019
13025,13904,2019
13027,12232,2019
13029,24691,2019
13031,58923,2019
13033,16697,2019
13035,18578,2019
13037,5326,2019
13039,39315,2019
13043,8121,2019
13045,87038,2019
13047,50382,2019
13049,10436,2019
13051,222734,2019
13053,8625,2019
13055,19242,2019
13057,175275,2019
13059,102099,2019
13061,2312,2019
13063,196756,2019
13065,4980,2019
13067,558636,2019
13069,32462,2019
13071,33671,2019
13073,106507,2019
13075,12711,2019
13077,102836,2019
13079,9731,2019
13081,17300,2019
13083,13158,2019
13085,18417,2019
13087,20341,2019
13089,562768,2019
13091,16752,2019
13093,11431,2019
13095,68923,2019
13097,102866,2019
13099,7823,2019
13101,2871,2019
13103,41712,2019
13105,15040,2019
13107,16825,2019
13109,7911,2019
13111,20224,2019
13113,84091,2019
13115,73809,2019
13117,150770,2019
13119,17376,2019
13121,779870,2019
13123,23604,2019
13125,2329,2019
13127,64413,2019
13129,42145,2019
13131,18737,2019
13133,13504,2019
13135,643774,2019
13137,33856,2019
13139,142154,2019
13141,7422,2019
13143,21779,2019
13145,25846,2019
13147,20140,2019
13149,8913,2019
13151,159381,2019
13153,111520,2019
13155,7231,2019
13157,47573,2019
13159,10472,2019
13161,10942,2019
13163,12139,2019
13165,6767,2019
13167,7802,2019
13169,21718,2019
13171,14437,2019
13173,7743,2019
13175,35670,2019
13177,21388,2019
13179,44310,2019
13181,6262,2019
13183,12764,2019
13185,86643,2019
13187,25724,2019
13189,15812,2019
13191,11568,2019
13193,11013,2019
13195,21994,2019
13197,6680,2019
13199,16495,2019
13201,4526,2019
13205,17263,2019
13207,21216,2019
13209,7026,2019
13211,13884,2019
13213,29451,2019
13215,149258,2019
13217,76794,2019
13219,26329,2019
13221,11460,2019
13223,110422,2019
13225,21142,2019
13227,24139,2019
13229,14318,2019
13231,13558,2019
13233,30662,2019
13235,9456,2019
13237,17207,2019
13239,1767,2019
13241,13503,2019
13243,5552,2019
13245,154332,2019
13247,65865,2019
13249,3842,2019
13251,10928,2019
13253,6694,2019
13255,48671,2019
13257,19863,2019
13259,5000,2019
13261,23475,2019
13263,5288,2019
13265,1548,2019
13267,20107,2019
13269,6523,2019
13271,13483,2019
13273,6806,2019
13275,34051,2019
13277,30420,2019
13279,19803,2019
13281,9652,2019
13283,5317,2019
13285,51950,2019
13287,6038,2019
13289,6726,2019
13291,18657,2019
13293,20363,2019
13295,53320,2019
13297,66153,2019
13299,27174,2019
13301,4262,2019
13303,15883,2019
13305,22466,2019
13307,2006,2019
13309,6605,2019
13311,22538,2019
13313,76094,2019
13315,7174,2019
13317,7866,2019
13319,7028,2019
13321,15940,2019
15001,153211,2019
15003,777850,2019
15005,84,2019
15007,55281,2019
15009,127649,2019
16001,327266,2019
16003,3253,2019
16005,61551,2019
16007,4331,2019
16009,7026,2019
16011,30998,2019
16013,16603,2019
16015,5704,2019
16017,33389,2019
16019,75860,2019
16021,8664,2019
16023,2080,2019
16025,664,2019
16027,145588,2019
16029,4897,2019
16031,15821,2019
16033,701,2019
16035,7165,2019
16037,3474,2019
16039,19424,2019
16041,8694,2019
16043,9320,2019
16045,12876,2019
16047,10918,2019
16049,13043,2019
16051,17893,2019
16053,15868,2019
16055,114928,2019
16057,31432,2019
16059,6389,2019
16061,2947,2019
16063,3657,2019
16065,27881,2019
16067,14583,2019
16069,31416,2019
16071,3057,2019
16073,8347,2019
16075,16663,2019
16077,5345,2019
16079,9989,2019
16081,7824,2019
16083,59334,2019
16085,8243,2019
16087,7658,2019
17001,51688,2019
17003,5130,2019
17005,13719,2019
17007,39689,2019
17009,5747,2019
17011,26266,2019
17013,3871,2019
17015,11831,2019
17017,9741,2019
17019,168449,2019
17021,26596,2019
17023,12270,2019
17025,10474,2019
17027,29601,2019
17029,43109,2019
17031,4064766,2019
17033,15496,2019
17035,8419,2019
17037,81726,2019
17039,12630,2019
17041,14819,2019
17043,715152,2019
17045,13899,2019
17047,5042,2019
17049,25969,2019
17051,17425,2019
17053,10373,2019
17055,30587,2019
17057,28580,2019
17059,4100,2019
17061,10431,2019
17063,37352,2019
17065,6419,2019
17067,14409,2019
17069,3435,2019
17071,5617,2019
17073,38417,2019
17075,22177,2019
17077,48397,2019
17079,7358,2019
17081,29893,2019
17083,17492,2019
17085,17767,2019
17087,10563,2019
17089,387946,2019
17091,84355,2019
17093,86720,2019
17095,41227,2019
17097,527822,2019
17099,86853,2019
17101,13321,2019
17103,27731,2019
17105,28767,2019
17107,23884,2019
17109,26352,2019
17111,232322,2019
17113,135200,2019
17115,83572,2019
17117,36059,2019
17119,207269,2019
17121,29576,2019
17123,9509,2019
17125,11004,2019
17127,11358,2019
17129,9637,2019
17131,12360,2019
17133,26013,2019
17135,23316,2019
17137,27669,2019
17139,11020,2019
17141,39765,2019
17143,141740,2019
17145,17353,2019
17147,12709,2019
17149,12374,2019
17151,3661,2019
17153,4457,2019
17155,4613,2019
17157,26506,2019
17159,12428,2019
17161,113392,2019
17163,201247,2019
17165,19088,2019
17167,153022,2019
17169,5866,2019
17171,3966,2019
17173,17184,2019
17175,4330,2019
17177,35866,2019
17179,103671,2019
17181,13582,2019
17183,60271,2019
17185,9019,2019
17187,13558,2019
17189,11164,2019
17191,12816,2019
17193,11073,2019
17195,43990,2019
17197,507938,2019
17199,52674,2019
17201,219221,2019
17203,29232,2019
18001,24083,2019
18003,271705,2019
18005,61575,2019
18007,6514,2019
18009,9548,2019
18011,46061,2019
18013,12229,2019
18015,15402,2019
18017,29180,2019
18019,88545,2019
18021,20273,2019
18023,23925,2019
18025,8253,2019
18027,23250,2019
18029,38033,2019
18031,19958,2019
18033,31990,2019
18035,93971,2019
18037,31979,2019
18039,146298,2019
18041,18222,2019
18043,58802,2019
18045,12873,2019
18047,17324,2019
18049,15460,2019
18051,25708,2019
18053,53546,2019
18055,25151,2019
18057,222368,2019
18059,55306,2019
18061,30519,2019
18063,117288,2019
18065,38534,2019
18067,63591,2019
18069,28469,2019
18071,33045,2019
18073,25371,2019
18075,15661,2019
18077,25608,2019
18079,21182,2019
18081,111609,2019
18083,29762,2019
18085,59480,2019
18087,25885,2019
18089,370543,2019
18091,86587,2019
18093,35527,2019
18095,101034,2019
18097,706826,2019
18099,34900,2019
18101,7889,2019
18103,28187,2019
